close,contract,date,open,rolled
3852.2,IF2410.CCFX,2024-10-15,3938.8,0
3832.0,IF2410.CCFX,2024-10-16,3816.8,0
3784.4,IF2410.CCFX,2024-10-17,3856.6,0
3927.2,IF2411.CCFX,2024-10-18,3790.0,1
3936.2,IF2411.CCFX,2024-10-21,3947.0,0
3968.8,IF2412.CCFX,2024-10-22,3928.2,1
3982.8,IF2412.CCFX,2024-10-23,3965.2,0
3937.0,IF2412.CCFX,2024-10-24,3963.0,0
3958.0,IF2412.CCFX,2024-10-25,3945.0,0
3972.2,IF2412.CCFX,2024-10-28,3960.4,0
3940.0,IF2412.CCFX,2024-10-29,3986.0,0
3896.0,IF2412.CCFX,2024-10-30,3930.0,0
3893.0,IF2412.CCFX,2024-10-31,3898.0,0
3905.0,IF2412.CCFX,2024-11-01,3891.2,0
3959.0,IF2412.CCFX,2024-11-04,3914.2,0
4068.0,IF2412.CCFX,2024-11-05,3949.0,0
4040.8,IF2412.CCFX,2024-11-06,4060.0,0
4183.8,IF2412.CCFX,2024-11-07,4020.0,0
4112.2,IF2412.CCFX,2024-11-08,4215.2,0
4133.2,IF2412.CCFX,2024-11-11,4080.0,0
4083.8,IF2412.CCFX,2024-11-12,4133.4,0
4112.8,IF2412.CCFX,2024-11-13,4068.2,0
4041.8,IF2412.CCFX,2024-11-14,4098.0,0
3975.2,IF2412.CCFX,2024-11-15,4040.0,0
3954.6,IF2412.CCFX,2024-11-18,3997.8,0
3973.2,IF2412.CCFX,2024-11-19,3966.0,0
3980.0,IF2412.CCFX,2024-11-20,3961.4,0
3989.2,IF2412.CCFX,2024-11-21,3974.8,0
3860.8,IF2412.CCFX,2024-11-22,3985.0,0
3839.0,IF2412.CCFX,2024-11-25,3878.2,0
3836.0,IF2412.CCFX,2024-11-26,3830.0,0
3901.4,IF2412.CCFX,2024-11-27,3828.6,0
3872.4,IF2412.CCFX,2024-11-28,3896.2,0
3911.0,IF2412.CCFX,2024-11-29,3876.8,0
3942.0,IF2412.CCFX,2024-12-02,3912.0,0
3945.6,IF2412.CCFX,2024-12-03,3939.8,0
3924.8,IF2412.CCFX,2024-12-04,3940.0,0
3918.6,IF2412.CCFX,2024-12-05,3915.6,0
3968.0,IF2412.CCFX,2024-12-06,3921.0,0
3963.4,IF2412.CCFX,2024-12-09,3967.0,0
4000.4,IF2412.CCFX,2024-12-10,4099.0,0
3994.0,IF2412.CCFX,2024-12-11,3997.0,0
4038.8,IF2412.CCFX,2024-12-12,3994.2,0
3935.0,IF2412.CCFX,2024-12-13,4005.0,0
3911.4,IF2412.CCFX,2024-12-16,3940.0,0
3922.4,IF2412.CCFX,2024-12-17,3907.0,0
3940.2,IF2412.CCFX,2024-12-18,3941.4,0
3944.8,IF2412.CCFX,2024-12-19,3910.8,0
3932.4,IF2501.CCFX,2024-12-20,3936.0,1
3935.4,IF2501.CCFX,2024-12-23,3931.8,0
3983.4,IF2501.CCFX,2024-12-24,3939.0,0
3985.0,IF2501.CCFX,2024-12-25,3988.2,0
3987.2,IF2501.CCFX,2024-12-26,3981.8,0
3983.6,IF2501.CCFX,2024-12-27,3989.0,0
3999.2,IF2501.CCFX,2024-12-30,3983.6,0
3923.6,IF2501.CCFX,2024-12-31,3999.2,0
3819.0,IF2501.CCFX,2025-01-02,3926.0,0
3781.6,IF2501.CCFX,2025-01-03,3829.0,0
3766.8,IF2501.CCFX,2025-01-06,3778.8,0
3793.4,IF2501.CCFX,2025-01-07,3758.0,0
3785.8,IF2501.CCFX,2025-01-08,3780.4,0
3775.6,IF2501.CCFX,2025-01-09,3780.0,0
3732.6,IF2501.CCFX,2025-01-10,3781.6,0
3725.4,IF2501.CCFX,2025-01-13,3708.4,0
3818.6,IF2501.CCFX,2025-01-14,3725.0,0
3796.8,IF2501.CCFX,2025-01-15,3816.4,0
3794.8,IF2501.CCFX,2025-01-16,3806.2,0
3807.2,IF2502.CCFX,2025-01-17,3788.0,1
3826.8,IF2502.CCFX,2025-01-20,3832.0,0
3831.6,IF2503.CCFX,2025-01-21,3850.4,1
3790.8,IF2503.CCFX,2025-01-22,3824.4,0
3798.6,IF2503.CCFX,2025-01-23,3830.2,0
3843.8,IF2503.CCFX,2025-01-24,3798.0,0
3795.0,IF2503.CCFX,2025-01-27,3846.0,0
3788.8,IF2503.CCFX,2025-02-05,3826.4,0
3841.6,IF2503.CCFX,2025-02-06,3788.0,0
3897.8,IF2503.CCFX,2025-02-07,3841.2,0
3899.0,IF2503.CCFX,2025-02-10,3905.0,0
3883.2,IF2503.CCFX,2025-02-11,3902.0,0
3918.4,IF2503.CCFX,2025-02-12,3879.0,0
3910.0,IF2503.CCFX,2025-02-13,3914.6,0
3944.4,IF2503.CCFX,2025-02-14,3912.8,0
3948.2,IF2503.CCFX,2025-02-17,3958.0,0
3918.2,IF2503.CCFX,2025-02-18,3940.0,0
3939.4,IF2503.CCFX,2025-02-19,3914.0,0
3926.8,IF2503.CCFX,2025-02-20,3931.0,0
3981.6,IF2503.CCFX,2025-02-21,3936.2,0
3967.2,IF2503.CCFX,2025-02-24,3978.0,0
3928.6,IF2503.CCFX,2025-02-25,3930.0,0
3957.2,IF2503.CCFX,2025-02-26,3935.6,0
3973.6,IF2503.CCFX,2025-02-27,3957.0,0
3899.8,IF2503.CCFX,2025-02-28,3955.0,0
3886.6,IF2503.CCFX,2025-03-03,3908.0,0
3882.2,IF2503.CCFX,2025-03-04,3870.0,0
3894.6,IF2503.CCFX,2025-03-05,3885.0,0
3954.2,IF2503.CCFX,2025-03-06,3917.6,0
3943.8,IF2503.CCFX,2025-03-07,3945.2,0
3917.8,IF2503.CCFX,2025-03-10,3943.2,0
3930.0,IF2503.CCFX,2025-03-11,3884.4,0
3923.2,IF2503.CCFX,2025-03-12,3936.0,0
3904.8,IF2503.CCFX,2025-03-13,3924.0,0
4012.8,IF2503.CCFX,2025-03-14,3913.0,0
3996.0,IF2503.CCFX,2025-03-17,4022.0,0
4005.6,IF2503.CCFX,2025-03-18,4015.0,0
4013.2,IF2503.CCFX,2025-03-19,3999.0,0
3977.6,IF2503.CCFX,2025-03-20,4014.2,0
3906.0,IF2504.CCFX,2025-03-21,3969.6,1
3924.0,IF2504.CCFX,2025-03-24,3910.0,0
3929.2,IF2504.CCFX,2025-03-25,3924.0,0
3916.2,IF2504.CCFX,2025-03-26,3928.8,0
3929.4,IF2504.CCFX,2025-03-27,3912.0,0
3908.8,IF2504.CCFX,2025-03-28,3931.0,0
3883.8,IF2504.CCFX,2025-03-31,3900.0,0
3884.2,IF2504.CCFX,2025-04-01,3889.0,0
3882.0,IF2504.CCFX,2025-04-02,3885.2,0
3861.6,IF2504.CCFX,2025-04-03,3850.0,0
3480.8,IF2504.CCFX,2025-04-07,3677.0,0
3598.6,IF2504.CCFX,2025-04-08,3569.8,0
3655.0,IF2504.CCFX,2025-04-09,3575.2,0
3712.2,IF2504.CCFX,2025-04-10,3710.0,0
3732.2,IF2504.CCFX,2025-04-11,3712.0,0
3743.0,IF2504.CCFX,2025-04-14,3754.2,0
3744.4,IF2504.CCFX,2025-04-15,3743.0,0
3755.4,IF2504.CCFX,2025-04-16,3742.0,0
3765.4,IF2504.CCFX,2025-04-17,3736.0,0
3737.0,IF2505.CCFX,2025-04-18,3730.0,1
3759.6,IF2505.CCFX,2025-04-21,3735.0,0
3733.0,IF2506.CCFX,2025-04-22,3733.2,1
3734.0,IF2506.CCFX,2025-04-23,3753.8,0
3736.8,IF2506.CCFX,2025-04-24,3736.2,0
3739.2,IF2506.CCFX,2025-04-25,3745.0,0
3730.6,IF2506.CCFX,2025-04-28,3737.0,0
3724.8,IF2506.CCFX,2025-04-29,3729.0,0
3716.2,IF2506.CCFX,2025-04-30,3725.8,0
3766.2,IF2506.CCFX,2025-05-06,3734.0,0
3785.0,IF2506.CCFX,2025-05-07,3820.0,0
3816.0,IF2506.CCFX,2025-05-08,3778.0,0
3808.6,IF2506.CCFX,2025-05-09,3813.2,0
3853.0,IF2506.CCFX,2025-05-12,3830.6,0
3851.0,IF2506.CCFX,2025-05-13,3868.0,0
3907.4,IF2506.CCFX,2025-05-14,3852.0,0
3872.8,IF2506.CCFX,2025-05-15,3896.4,0
3846.0,IF2506.CCFX,2025-05-16,3868.0,0
3843.2,IF2506.CCFX,2025-05-19,3840.0,0
3865.4,IF2506.CCFX,2025-05-20,3847.0,0
3881.2,IF2506.CCFX,2025-05-21,3865.4,0
3879.6,IF2506.CCFX,2025-05-22,3878.0,0
3846.2,IF2506.CCFX,2025-05-23,3875.2,0
3831.2,IF2506.CCFX,2025-05-26,3846.2,0
3809.2,IF2506.CCFX,2025-05-27,3828.2,0
3805.0,IF2506.CCFX,2025-05-28,3815.0,0
3832.8,IF2506.CCFX,2025-05-29,3814.6,0
